Port Name;State;Port Code;Border;Longitud;Latitud;Mes;Year;Measure;Value
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2002;Rail Containers Loaded;1680
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;2;2001;Personal Vehicle Passengers;4281175
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;2008;Personal Vehicle Passengers;1924960
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2013;Personal Vehicle Passengers;1512411
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;4;2010;Rail Containers Empty;5316
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2003;Truck Containers Loaded;28109
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2007;Truck Containers Empty;28442
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;1997;Trains;63
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;2004;Personal Vehicle Passengers;2376418
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2011;Bus Passengers;47725
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;1999;Rail Containers Empty;1689
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;4;2007;Personal Vehicle Passengers;2101221
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;2009;Train Passengers;0
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2004;Train Passengers;189
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2019;Personal Vehicles;764756
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;2020;Train Passengers;460
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;1996;Rail Containers Empty;1284
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2009;Trucks;60849
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2015;Truck Containers Empty;37025
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2001;Personal Vehicle Passengers;2152153
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;5;2013;Trucks;64451
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;2009;Personal Vehicles;805842
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2006;Rail Containers Empty;8741
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;5;2000;Personal Vehicle Passengers;3986253
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;6;1996;Buses;428
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2005;Buses;1627
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;4;2005;Train Passengers;543
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2006;Truck Containers Loaded;31003
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;1997;Trains;78
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2002;Bus Passengers;31788
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;2;2001;Bus Passengers;10616
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2008;Trucks;61158
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2013;Trucks;68339
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;4;2010;Trains;88
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2003;Truck Containers Empty;23898
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2007;Pedestrians;797922
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;1997;Train Passengers;0
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;2004;Truck Containers Loaded;34621
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2011;Truck Containers Loaded;30970
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;1999;Trains;52
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2007;Trains;248
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2008;Personal Vehicle Passengers;1796875
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2004;Rail Containers Empty;4092
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2019;Trains;115
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;2020;Rail Containers Loaded;2762
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;1996;Truck Containers Loaded;21460
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2009;Truck Containers Loaded;28594
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2015;Pedestrians;600320
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2001;Truck Containers Loaded;26963
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2013;Personal Vehicle Passengers;1444472
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2010;Pedestrians;624785
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2006;Trucks;64678
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;5;2000;Buses;601
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;6;1996;Truck Containers Empty;23415
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2005;Trucks;55827
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;4;2005;Truck Containers Loaded;37680
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2006;Trains;227
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;1997;Train Passengers;0
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2002;Truck Containers Loaded;33983
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;2;2001;Pedestrians;573777
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2008;Personal Vehicles;1255277
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2013;Truck Containers Loaded;36232
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;6;2010;Truck Containers Empty;23976
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2004;Buses;1494
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2007;Personal Vehicle Passengers;1840226
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;1998;Personal Vehicles;1300542
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;2004;Truck Containers Empty;25860
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2011;Rail Containers Empty;5718
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;1999;Bus Passengers;9949
